COUNTY_NAME,POPDEN_2000,POPDEN_2001,POPDEN_2002,POPDEN_2003,POPDEN_2004,POPDEN_2005,POPDEN_2006,POPDEN_2007,POPDEN_2008,POPDEN_2009,POPDEN_2010,POPDEN_2011,POPDEN_2012,POPDEN_2013,POPDEN_2014,POPDEN_2015,POPDEN_2016,POPDEN_2017,POPDEN_2018,POPDEN_2019,POPDEN_2020,POPDEN_2021,Longitude,Latitude
Adams,8.53,8.67,8.79,8.87,9.09,9.17,9.19,9.33,9.46,9.57,9.73,9.84,9.90,9.97,10.08,10.08,10.14,10.32,10.40,10.47,10.71,10.86,10.71,-118.53331
Asotin,32.35,32.50,32.51,32.60,32.71,32.96,33.33,33.70,33.87,33.99,33.99,34.03,34.11,34.27,34.50,34.60,34.82,35.04,35.24,35.40,35.04,35.37,35.04,-117.22778
Benton,83.66,85.30,87.07,89.21,91.52,93.53,95.27,96.94,98.41,100.64,103.02,104.62,105.86,107.86,109.68,110.91,112.03,113.80,116.10,118.68,121.68,123.17,121.68,-119.51686
Chelan,22.80,22.90,23.07,23.11,23.28,23.61,23.93,24.23,24.58,24.71,24.81,24.89,25.06,25.20,25.44,25.69,25.99,26.31,26.64,26.85,27.09,27.39,27.09,-120.61854
Clallam,36.90,37.21,37.60,37.90,38.36,38.90,39.64,40.15,40.60,40.83,41.08,41.19,41.42,41.62,41.71,41.79,42.23,42.71,43.22,43.73,44.37,44.72,44.37,-123.93061
Clark,549.55,561.45,580.78,595.48,613.43,628.12,644.26,656.92,667.11,674.56,676.25,680.45,685.61,692.37,703.97,718.31,732.93,748.81,762.32,776.63,800.82,816.4,800.82,-122.48590
Columbia,4.68,4.74,4.74,4.73,4.74,4.76,4.75,4.71,4.72,4.72,4.69,4.72,4.72,4.72,4.70,4.71,4.66,4.72,4.78,4.79,4.55,4.55,4.55,-117.91163
Cowlitz,81.63,82.63,83.30,84.18,84.83,85.78,87.03,88.16,89.18,89.73,89.82,90.08,90.38,90.60,90.95,91.46,91.96,92.88,94.12,95.56,97.03,97.71,97.03,-122.65868
Douglas,17.91,18.03,18.06,18.43,18.65,18.93,19.50,19.96,20.45,20.89,21.12,21.24,21.38,21.59,21.82,21.98,22.38,22.77,23.15,23.54,23.6,23.94,23.60,-119.69588
Ferry,3.29,3.33,3.35,3.36,3.34,3.36,3.39,3.40,3.42,3.43,3.43,3.45,3.47,3.47,3.48,3.50,3.49,3.51,3.53,3.55,3.26,3.29,3.26,-118.51707
Franklin,39.72,40.63,42.08,44.19,47.15,50.36,53.42,56.01,58.14,60.46,62.92,64.81,66.42,68.27,69.72,70.16,71.38,72.72,74.50,76.22,77.92,79.21,77.92,-118.90694
Garfield,3.37,3.35,3.33,3.30,3.27,3.26,3.25,3.22,3.21,3.20,3.19,3.17,3.17,3.17,3.15,3.18,3.10,3.10,3.11,3.12,3.22,3.24,3.22,-117.53671
Grant,27.86,28.31,28.70,28.90,29.46,29.88,30.51,31.23,32.07,32.72,33.26,33.63,33.96,34.26,34.67,35.05,35.31,35.69,36.33,36.85,36.99,37.62,36.99,-119.46779
Grays Harbor,35.05,35.84,36.12,36.23,36.55,36.94,37.34,37.58,37.71,37.86,38.27,38.33,38.46,38.49,38.54,38.44,38.29,38.36,38.70,38.99,39.78,40,39.78,-123.82704
Island,343.32,345.74,350.96,353.26,357.67,364.40,370.34,375.31,376.84,377.76,376.62,378.03,380.67,382.35,383.79,386.66,397.75,397.17,402.30,406.91,416.63,417.8,416.63,-122.67050
Jefferson,14.50,14.70,14.96,15.07,15.29,15.63,15.90,16.12,16.33,16.41,16.56,16.66,16.73,16.78,17.02,17.12,17.24,17.39,17.51,17.69,18.28,18.35,18.28,-123.52181
King,817.03,825.71,836.07,841.04,847.01,853.70,867.91,880.09,889.51,898.01,912.87,918.24,925.05,936.82,953.53,970.33,995.05,1018.02,1035.28,1052.34,1073.02,1081.23,1073.02,-121.83237
Kitsap,585.82,590.75,597.66,604.70,608.07,605.65,616.33,624.99,631.12,634.52,635.88,642.88,644.40,643.14,647.95,653.77,664.89,669.22,676.36,683.90,697.57,702.86,697.57,-122.64964
Kittitas,14.52,14.77,15.02,15.44,16.01,16.39,16.62,17.04,17.47,17.72,17.81,17.98,18.06,18.24,18.33,18.57,19.03,19.47,19.85,20.27,20.23,19.69,20.23,-120.67671
Klickitat,10.23,10.30,10.34,10.39,10.50,10.55,10.67,10.74,10.80,10.82,10.86,10.95,11.01,11.06,11.14,11.22,11.37,11.57,11.75,11.99,12.15,12.29,12.15,-120.78012
Lewis,28.49,28.81,29.11,29.24,29.52,29.81,30.34,30.75,31.09,31.28,31.40,31.63,31.75,31.71,31.75,31.90,32.00,32.23,32.62,33.08,34.19,34.42,34.19,-122.37744
Lincoln,4.41,4.46,4.45,4.39,4.46,4.49,4.51,4.56,4.60,4.60,4.57,4.59,4.62,4.62,4.63,4.64,4.61,4.63,4.68,4.74,4.71,4.72,4.71,-118.41767
Mason,51.41,52.00,53.05,54.07,55.39,56.96,58.49,60.42,61.95,62.68,63.27,63.68,64.05,64.41,64.62,64.83,64.96,65.86,66.73,67.73,68.5,68.52,68.50,-123.17385
Okanogan,7.51,7.56,7.59,7.59,7.62,7.64,7.72,7.67,7.70,7.78,7.81,7.82,7.86,7.88,7.92,7.95,7.92,7.99,8.07,8.11,8,8.04,8.00,-119.69103
Pacific,22.49,22.46,22.37,22.15,22.15,22.16,22.41,22.28,22.24,22.39,22.43,22.41,22.48,22.52,22.62,22.74,22.71,22.78,22.97,23.20,25.03,25.09,25.03,-123.78242
Pend Oreille,8.38,8.56,8.57,8.63,8.69,8.82,8.93,9.04,9.18,9.17,9.29,9.29,9.36,9.39,9.44,9.46,9.49,9.55,9.67,9.81,9.57,9.62,9.57,-117.23218
Pierce,417.42,422.47,429.52,435.98,442.97,450.84,461.04,468.70,473.12,474.65,476.32,480.47,484.09,487.87,491.94,497.22,505.83,514.76,522.44,532.07,552.25,556.49,552.25,-122.14471
San Juan,80.48,82.33,83.83,84.45,85.38,86.78,87.92,88.51,89.38,89.97,90.67,91.43,91.57,92.00,92.58,93.04,93.84,94.93,96.66,98.61,102.28,102.64,102.28,-123.10062
Skagit,59.35,60.08,61.01,61.46,62.53,63.38,64.61,65.64,66.52,67.21,67.53,67.81,68.13,68.51,69.03,69.67,70.63,71.68,73.08,74.63,74.86,75.13,74.86,-121.81628
Skamania,5.96,6.00,6.06,6.11,6.21,6.35,6.51,6.58,6.61,6.64,6.68,6.73,6.81,6.82,6.87,6.90,6.95,7.06,7.18,7.28,7,7.09,7.00,-121.95323
Snohomish,290.09,295.76,301.23,306.33,310.56,316.58,323.65,329.96,334.76,337.90,341.76,343.51,346.34,349.98,355.01,362.96,370.27,378.20,385.73,392.23,396.81,401.53,396.81,-121.76641
Spokane,236.98,239.92,243.11,243.18,244.89,248.49,253.31,257.44,261.00,264.47,267.16,267.97,269.65,272.14,274.69,276.85,279.25,283.37,287.99,292.13,305.71,307.27,305.71,-117.40439
Stevens,16.17,16.27,16.39,16.53,16.68,16.86,17.09,17.25,17.46,17.56,17.57,17.60,17.64,17.68,17.72,17.77,17.80,17.96,18.17,18.39,18.75,18.86,18.75,-117.85490
Thurston,285.21,288.99,294.54,300.22,306.82,315.38,321.98,329.52,336.79,342.96,349.42,351.96,355.70,360.27,365.67,370.39,377.71,383.54,390.19,395.87,408.02,412.18,408.02,-122.82944
Wahkiakum,14.47,14.50,14.48,14.51,14.48,14.63,14.80,15.00,15.16,15.15,15.10,15.19,15.28,15.26,15.23,15.11,15.19,15.30,15.57,15.91,16.82,17.02,16.82,-123.42446
Walla Walla,43.43,43.37,43.48,43.73,44.21,44.87,45.04,45.46,45.70,46.09,46.28,46.29,46.53,46.85,47.36,47.75,47.81,48.34,48.66,48.97,49.28,48.9,49.28,-118.48037
Whatcom,78.71,80.67,82.21,83.03,85.04,87.27,89.68,92.14,93.26,94.24,95.47,95.92,96.59,97.68,98.54,99.57,100.88,102.66,104.59,106.94,107.62,107.36,107.62,-121.83643
Whitman,18.87,18.68,18.82,18.97,19.30,19.68,19.84,19.82,20.41,20.38,20.74,20.75,21.28,21.31,21.54,21.88,22.20,22.53,22.79,23.22,22.22,20.66,22.22,-117.52296
Yakima,51.81,52.19,52.32,53.06,53.54,53.98,54.56,55.15,55.75,56.26,56.63,56.97,57.27,57.56,57.92,58.19,58.41,58.90,59.25,59.59,59.78,60.1,59.78,-120.74014
