,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2971,"Klickitat County, WA",2012.0,"9,884     ","8,957     ",927     ,9.4,,,,,
2967,"Jefferson County, WA",2012.0,"11,867     ","10,783     ","1,084     ",9.1,,,,,
2966,"Island County, WA",2012.0,"32,416     ","29,998     ","2,418     ",7.5,,,,,
2965,"Grays Harbor County, WA",2012.0,"28,650     ","25,229     ","3,421     ",11.9,,,,,
2964,"Grant County, WA",2012.0,"43,708     ","39,903     ","3,805     ",8.7,,,,,
2963,"Garfield County, WA",2012.0,"1,017     ",946     ,71     ,7.0,,,,,
2962,"Franklin County, WA",2012.0,"38,976     ","35,508     ","3,468     ",8.9,,,,,
2961,"Ferry County, WA",2012.0,"2,418     ","2,069     ",349     ,14.4,,,,,
2960,"Douglas County, WA",2012.0,"19,181     ","17,583     ","1,598     ",8.3,,,,,
2959,"Cowlitz County, WA",2012.0,"44,297     ","39,950     ","4,347     ",9.8,,,,,
2958,"Columbia County, WA",2012.0,"1,813     ","1,676     ",137     ,7.6,,,,,
2957,"Clark County, WA",2012.0,"208,427     ","190,460     ","17,967     ",8.6,,,,,
2956,"Clallam County, WA",2012.0,"27,997     ","25,310     ","2,687     ",9.6,,,,,
2955,"Chelan County, WA",2012.0,"41,248     ","38,238     ","3,010     ",7.3,,,,,
2954,"Benton County, WA",2012.0,"91,611     ","83,800     ","7,811     ",8.5,,,,,
2953,"Asotin County, WA",2012.0,"9,733     ","9,038     ",695     ,7.1,,,,,
2968,"King County, WA",2012.0,"1,127,689     ","1,056,990     ","70,699     ",6.3,,,,,
2969,"Kitsap County, WA",2012.0,"115,743     ","107,371     ","8,372     ",7.2,,,,,
2970,"Kittitas County, WA",2012.0,"20,499     ","18,848     ","1,651     ",8.1,,,,,
2972,"Lewis County, WA",2012.0,"32,009     ","28,485     ","3,524     ",11.0,,,,,
2988,"Whatcom County, WA",2012.0,"102,772     ","95,113     ","7,659     ",7.5,,,,,
2987,"Walla Walla County, WA",2012.0,"29,483     ","27,472     ","2,011     ",6.8,,,,,
2986,"Wahkiakum County, WA",2012.0,"1,366     ","1,206     ",160     ,11.7,,,,,
2985,"Thurston County, WA",2012.0,"122,762     ","113,263     ","9,499     ",7.7,,,,,
2984,"Stevens County, WA",2012.0,"18,099     ","16,143     ","1,956     ",10.8,,,,,
2983,"Spokane County, WA",2012.0,"229,378     ","210,343     ","19,035     ",8.3,,,,,
2982,"Snohomish County, WA",2012.0,"387,127     ","358,508     ","28,619     ",7.4,,,,,
2952,"Adams County, WA",2012.0,"8,195     ","7,512     ",683     ,8.3,,,,,
2981,"Skamania County, WA",2012.0,"5,005     ","4,520     ",485     ,9.7,,,,,
2979,"San Juan County, WA",2012.0,"8,089     ","7,614     ",475     ,5.9,,,,,
2978,"Pierce County, WA",2012.0,"385,098     ","352,308     ","32,790     ",8.5,,,,,
2977,"Pend Oreille County, WA",2012.0,"4,776     ","4,216     ",560     ,11.7,,,,,
2976,"Pacific County, WA",2012.0,"8,136     ","7,235     ",901     ,11.1,,,,,
2975,"Okanogan County, WA",2012.0,"21,045     ","19,218     ","1,827     ",8.7,,,,,
2974,"Mason County, WA",2012.0,"23,413     ","21,067     ","2,346     ",10.0,,,,,
2973,"Lincoln County, WA",2012.0,"5,229     ","4,882     ",347     ,6.6,,,,,
2980,"Skagit County, WA",2012.0,"56,829     ","51,805     ","5,024     ",8.8,,,,,
2989,"Whitman County, WA",2012.0,"22,372     ","21,024     ","1,348     ",6.0,,,,,
2990,"Yakima County, WA",2012.0,"120,381     ","108,705     ","11,676     ",9.7,,,,,
2964,"Grant County, WA",2013.0,"43,959     ","40,239     ","3,720     ",8.5,,,,,
2970,"Kittitas County, WA",2013.0,"20,189     ","18,651     ","1,538     ",7.6,,,,,
2969,"Kitsap County, WA",2013.0,"113,595     ","105,576     ","8,019     ",7.1,,,,,
2968,"King County, WA",2013.0,"1,137,057     ","1,086,876     ","50,181     ",4.4,,,,,
2967,"Jefferson County, WA",2013.0,"11,407     ","10,360     ","1,047     ",9.2,,,,,
2966,"Island County, WA",2013.0,"31,749     ","29,438     ","2,311     ",7.3,,,,,
2965,"Grays Harbor County, WA",2013.0,"28,081     ","24,810     ","3,271     ",11.6,,,,,
2963,"Garfield County, WA",2013.0,984     ,913     ,71     ,7.2,,,,,
2971,"Klickitat County, WA",2013.0,"9,707     ","8,813     ",894     ,9.2,,,,,
2962,"Franklin County, WA",2013.0,"38,342     ","34,802     ","3,540     ",9.2,,,,,
2960,"Douglas County, WA",2013.0,"18,895     ","17,362     ","1,533     ",8.1,,,,,
2959,"Cowlitz County, WA",2013.0,"43,270     ","39,108     ","4,162     ",9.6,,,,,
2958,"Columbia County, WA",2013.0,"1,765     ","1,627     ",138     ,7.8,,,,,
2957,"Clark County, WA",2013.0,"208,097     ","190,863     ","17,234     ",8.3,,,,,
2956,"Clallam County, WA",2013.0,"27,299     ","24,731     ","2,568     ",9.4,,,,,
2955,"Chelan County, WA",2013.0,"40,363     ","37,491     ","2,872     ",7.1,,,,,
2953,"Asotin County, WA",2013.0,"9,785     ","9,151     ",634     ,6.5,,,,,
2961,"Ferry County, WA",2013.0,"2,480     ","2,152     ",328     ,13.2,,,,,
2972,"Lewis County, WA",2013.0,"31,311     ","28,070     ","3,241     ",10.4,,,,,
2954,"Benton County, WA",2013.0,"90,174     ","82,314     ","7,860     ",8.7,,,,,
2952,"Adams County, WA",2013.0,"8,366     ","7,680     ",686     ,8.2,,,,,
2973,"Lincoln County, WA",2013.0,"5,086     ","4,745     ",341     ,6.7,,,,,
2989,"Whitman County, WA",2013.0,"22,205     ","20,894     ","1,311     ",5.9,,,,,
2988,"Whatcom County, WA",2013.0,"102,057     ","94,643     ","7,414     ",7.3,,,,,
2987,"Walla Walla County, WA",2013.0,"28,404     ","26,425     ","1,979     ",7.0,,,,,
2986,"Wahkiakum County, WA",2013.0,"1,292     ","1,140     ",152     ,11.8,,,,,
2985,"Thurston County, WA",2013.0,"122,701     ","113,589     ","9,112     ",7.4,,,,,
2984,"Stevens County, WA",2013.0,"17,708     ","15,832     ","1,876     ",10.6,,,,,
2983,"Spokane County, WA",2013.0,"227,147     ","209,018     ","18,129     ",8.0,,,,,
2982,"Snohomish County, WA",2013.0,"388,242     ","368,625     ","19,617     ",5.1,,,,,
2990,"Yakima County, WA",2013.0,"118,863     ","107,243     ","11,620     ",9.8,,,,,
2980,"Skagit County, WA",2013.0,"56,680     ","51,920     ","4,760     ",8.4,,,,,
2979,"San Juan County, WA",2013.0,"7,784     ","7,329     ",455     ,5.8,,,,,
2978,"Pierce County, WA",2013.0,"383,769     ","352,522     ","31,247     ",8.1,,,,,
2977,"Pend Oreille County, WA",2013.0,"4,674     ","4,128     ",546     ,11.7,,,,,
2976,"Pacific County, WA",2013.0,"7,986     ","7,103     ",883     ,11.1,,,,,
2975,"Okanogan County, WA",2013.0,"20,976     ","19,212     ","1,764     ",8.4,,,,,
2974,"Mason County, WA",2013.0,"23,335     ","21,048     ","2,287     ",9.8,,,,,
2981,"Skamania County, WA",2013.0,"4,992     ","4,505     ",487     ,9.8,,,,,
2972,"Lewis County, WA",2014.0,"30,479     ","27,793     ","2,686     ",8.8,,,,,
2978,"Pierce County, WA",2014.0,"384,834     ","358,653     ","26,181     ",6.8,,,,,
2977,"Pend Oreille County, WA",2014.0,"4,570     ","4,125     ",445     ,9.7,,,,,
2973,"Lincoln County, WA",2014.0,"5,031     ","4,749     ",282     ,5.6,,,,,
2975,"Okanogan County, WA",2014.0,"21,276     ","19,804     ","1,472     ",6.9,,,,,
2974,"Mason County, WA",2014.0,"23,090     ","21,213     ","1,877     ",8.1,,,,,
2979,"San Juan County, WA",2014.0,"7,684     ","7,311     ",373     ,4.9,,,,,
2976,"Pacific County, WA",2014.0,"7,838     ","7,084     ",754     ,9.6,,,,,
2980,"Skagit County, WA",2014.0,"56,370     ","52,423     ","3,947     ",7.0,,,,,
2984,"Stevens County, WA",2014.0,"17,361     ","15,788     ","1,573     ",9.1,,,,,
2982,"Snohomish County, WA",2014.0,"397,747     ","377,774     ","19,973     ",5.0,,,,,
2983,"Spokane County, WA",2014.0,"225,104     ","209,870     ","15,234     ",6.8,,,,,
2985,"Thurston County, WA",2014.0,"123,222     ","115,445     ","7,777     ",6.3,,,,,
2986,"Wahkiakum County, WA",2014.0,"1,274     ","1,154     ",120     ,9.4,,,,,
2987,"Walla Walla County, WA",2014.0,"28,420     ","26,722     ","1,698     ",6.0,,,,,
2988,"Whatcom County, WA",2014.0,"101,159     ","94,713     ","6,446     ",6.4,,,,,
2989,"Whitman County, WA",2014.0,"22,132     ","21,009     ","1,123     ",5.1,,,,,
2981,"Skamania County, WA",2014.0,"4,936     ","4,542     ",394     ,8.0,,,,,
2990,"Yakima County, WA",2014.0,"119,231     ","109,163     ","10,068     ",8.4,,,,,
2971,"Klickitat County, WA",2014.0,"9,567     ","8,848     ",719     ,7.5,,,,,
2969,"Kitsap County, WA",2014.0,"113,427     ","106,681     ","6,746     ",5.9,,,,,
2952,"Adams County, WA",2014.0,"8,537     ","7,944     ",593     ,6.9,,,,,
2953,"Asotin County, WA",2014.0,"9,694     ","9,190     ",504     ,5.2,,,,,
2954,"Benton County, WA",2014.0,"89,740     ","83,220     ","6,520     ",7.3,,,,,
2955,"Chelan County, WA",2014.0,"41,117     ","38,656     ","2,461     ",6.0,,,,,
2957,"Clark County, WA",2014.0,"208,941     ","194,712     ","14,229     ",6.8,,,,,
2958,"Columbia County, WA",2014.0,"1,738     ","1,617     ",121     ,7.0,,,,,
2959,"Cowlitz County, WA",2014.0,"43,534     ","40,120     ","3,414     ",7.8,,,,,
2960,"Douglas County, WA",2014.0,"19,292     ","17,961     ","1,331     ",6.9,,,,,
2956,"Clallam County, WA",2014.0,"26,682     ","24,504     ","2,178     ",8.2,,,,,
2962,"Franklin County, WA",2014.0,"37,979     ","34,902     ","3,077     ",8.1,,,,,
2961,"Ferry County, WA",2014.0,"2,445     ","2,174     ",271     ,11.1,,,,,
2968,"King County, WA",2014.0,"1,164,823     ","1,112,394     ","52,429     ",4.5,,,,,
2967,"Jefferson County, WA",2014.0,"11,175     ","10,304     ",871     ,7.8,,,,,
2966,"Island County, WA",2014.0,"31,680     ","29,643     ","2,037     ",6.4,,,,,
2970,"Kittitas County, WA",2014.0,"20,169     ","18,810     ","1,359     ",6.7,,,,,
2964,"Grant County, WA",2014.0,"44,765     ","41,532     ","3,233     ",7.2,,,,,
2963,"Garfield County, WA",2014.0,959     ,897     ,62     ,6.5,,,,,
2965,"Grays Harbor County, WA",2014.0,"27,137     ","24,462     ","2,675     ",9.9,,,,,
2980,"Skagit County, WA",2015.0,"56,687     ","52,969     ","3,718     ",6.6,,,,,
2974,"Mason County, WA",2015.0,"23,007     ","21,259     ","1,748     ",7.6,,,,,
2975,"Okanogan County, WA",2015.0,"21,230     ","19,803     ","1,427     ",6.7,,,,,
2976,"Pacific County, WA",2015.0,"8,091     ","7,385     ",706     ,8.7,,,,,
2977,"Pend Oreille County, WA",2015.0,"4,596     ","4,165     ",431     ,9.4,,,,,
2978,"Pierce County, WA",2015.0,"392,279     ","367,880     ","24,399     ",6.2,,,,,
2979,"San Juan County, WA",2015.0,"7,724     ","7,363     ",361     ,4.7,,,,,
2973,"Lincoln County, WA",2015.0,"4,877     ","4,601     ",276     ,5.7,,,,,
2990,"Yakima County, WA",2015.0,"121,715     ","112,179     ","9,536     ",7.8,,,,,
2983,"Spokane County, WA",2015.0,"227,863     ","213,461     ","14,402     ",6.3,,,,,
2984,"Stevens County, WA",2015.0,"17,432     ","15,924     ","1,508     ",8.7,,,,,
2985,"Thurston County, WA",2015.0,"125,761     ","118,488     ","7,273     ",5.8,,,,,
2986,"Wahkiakum County, WA",2015.0,"1,291     ","1,179     ",112     ,8.7,,,,,
2987,"Walla Walla County, WA",2015.0,"28,056     ","26,459     ","1,597     ",5.7,,,,,
2988,"Whatcom County, WA",2015.0,"104,286     ","98,270     ","6,016     ",5.8,,,,,
2989,"Whitman County, WA",2015.0,"22,767     ","21,694     ","1,073     ",4.7,,,,,
2972,"Lewis County, WA",2015.0,"31,203     ","28,657     ","2,546     ",8.2,,,,,
2982,"Snohomish County, WA",2015.0,"404,003     ","385,767     ","18,236     ",4.5,,,,,
2971,"Klickitat County, WA",2015.0,"9,454     ","8,796     ",658     ,7.0,,,,,
2981,"Skamania County, WA",2015.0,"4,946     ","4,591     ",355     ,7.2,,,,,
2969,"Kitsap County, WA",2015.0,"115,388     ","109,174     ","6,214     ",5.4,,,,,
2952,"Adams County, WA",2015.0,"8,617     ","8,038     ",579     ,6.7,,,,,
2953,"Asotin County, WA",2015.0,"9,682     ","9,234     ",448     ,4.6,,,,,
2954,"Benton County, WA",2015.0,"91,733     ","85,797     ","5,936     ",6.5,,,,,
2955,"Chelan County, WA",2015.0,"42,646     ","40,344     ","2,302     ",5.4,,,,,
2956,"Clallam County, WA",2015.0,"26,784     ","24,680     ","2,104     ",7.9,,,,,
2970,"Kittitas County, WA",2015.0,"20,846     ","19,591     ","1,255     ",6.0,,,,,
2958,"Columbia County, WA",2015.0,"1,693     ","1,586     ",107     ,6.3,,,,,
2959,"Cowlitz County, WA",2015.0,"44,093     ","40,793     ","3,300     ",7.5,,,,,
2957,"Clark County, WA",2015.0,"214,327     ","200,966     ","13,361     ",6.2,,,,,
2961,"Ferry County, WA",2015.0,"2,472     ","2,228     ",244     ,9.9,,,,,
2962,"Franklin County, WA",2015.0,"38,958     ","36,088     ","2,870     ",7.4,,,,,
2963,"Garfield County, WA",2015.0,930     ,874     ,56     ,6.0,,,,,
2964,"Grant County, WA",2015.0,"44,688     ","41,531     ","3,157     ",7.1,,,,,
2965,"Grays Harbor County, WA",2015.0,"26,897     ","24,532     ","2,365     ",8.8,,,,,
2966,"Island County, WA",2015.0,"31,766     ","29,885     ","1,881     ",5.9,,,,,
2967,"Jefferson County, WA",2015.0,"11,196     ","10,422     ",774     ,6.9,,,,,
2968,"King County, WA",2015.0,"1,185,074     ","1,136,052     ","49,022     ",4.1,,,,,
2960,"Douglas County, WA",2015.0,"19,772     ","18,547     ","1,225     ",6.2,,,,,
2968,"King County, WA",2016.0,"1,213,173     ","1,166,951     ","46,222     ",3.8,,,,,
2967,"Jefferson County, WA",2016.0,"11,516     ","10,714     ",802     ,7.0,,,,,
2966,"Island County, WA",2016.0,"32,764     ","30,860     ","1,904     ",5.8,,,,,
2965,"Grays Harbor County, WA",2016.0,"27,256     ","25,019     ","2,237     ",8.2,,,,,
2964,"Grant County, WA",2016.0,"44,585     ","41,462     ","3,123     ",7.0,,,,,
2963,"Garfield County, WA",2016.0,920     ,867     ,53     ,5.8,,,,,
2962,"Franklin County, WA",2016.0,"39,864     ","36,952     ","2,912     ",7.3,,,,,
2953,"Asotin County, WA",2016.0,"9,972     ","9,483     ",489     ,4.9,,,,,
2960,"Douglas County, WA",2016.0,"20,545     ","19,154     ","1,391     ",6.8,,,,,
2959,"Cowlitz County, WA",2016.0,"44,876     ","41,712     ","3,164     ",7.1,,,,,
2958,"Columbia County, WA",2016.0,"1,720     ","1,610     ",110     ,6.4,,,,,
2957,"Clark County, WA",2016.0,"220,996     ","207,736     ","13,260     ",6.0,,,,,
2956,"Clallam County, WA",2016.0,"27,332     ","25,285     ","2,047     ",7.5,,,,,
2955,"Chelan County, WA",2016.0,"43,313     ","40,878     ","2,435     ",5.6,,,,,
2954,"Benton County, WA",2016.0,"94,362     ","88,504     ","5,858     ",6.2,,,,,
2969,"Kitsap County, WA",2016.0,"118,285     ","111,789     ","6,496     ",5.5,,,,,
2961,"Ferry County, WA",2016.0,"2,493     ","2,240     ",253     ,10.1,,,,,
2970,"Kittitas County, WA",2016.0,"21,549     ","20,286     ","1,263     ",5.9,,,,,
2980,"Skagit County, WA",2016.0,"58,012     ","54,287     ","3,725     ",6.4,,,,,
